casename,run,wbf_mult,inp_mult
manualhetrfrzoslo_inp10,1.0,1.0,10.0
hetrfrzoslo_inp0.1,1.0,1.0,0.1
hetrfrzoslo_func_inp0.1,1.0,1.0,0.1
verbose_inp1,1.0,1.0,1.0
hetrfrzoslo_dummies_inp10,1.0,1.0,10.0
jolt_wbf_1_inp_1000,1.0,1.0,1000.0
jolt_wbf_1_inp_0,1.0,1.0,0.0
cttest15_wbf_1_inp_1,1.0,1.0,1.0
entraintest_1_1,1.0,1.0,1.0
nudgetest_1_1,1.0,1.0,1.0
nudge_wbf_1_inp_1000,1.0,1.0,1000.0
nudgetest_wbf_1_inp_1000,1.0,1.0,1000.0
nudge_wbf_1_inp_0,1.0,1.0,0.0
nudged_no_sed_1_1,1.0,1.0,1.0
nofreezingrain_1_1,1.0,1.0,1.0
midtempfreezingrain_1_1,1.0,1.0,1.0
frzrtvarsm1_wbf_1_inp_1,1.0,1.0,1.0
frzrtvarsm15_wbf_1_inp_100,1.0,1.0,100.0
frzrtvarsm15_wbf_1_inp_1,1.0,1.0,1.0
altINPm1_wbf_1_inp_1,1.0,1.0,1.0
altINPm1_wbf_1_inp_100,1.0,1.0,100.0
noice_wbf_1_inp_0,1.0,1.0,0.0
nimaxmod_wbf_1_inp_1,1.0,1.0,1.0
nimaxmod_wbf_1_inp_100,1.0,1.0,100.0
inpcheck_wbf_1_inp_10,1.0,1.0,10.0
wbfcheck_wbf_0.1_inp_1,1.0,0.1,1.0
icenucmod_wbf_1_inp_1,1.0,1.0,1.0
icenucmod2_wbf_1_inp_1,1.0,1.0,1.0
icenucmod_wbf_1_inp_10,1.0,1.0,10.0
continuetestnudged_wbf_1_inp_1,1.0,1.0,1.0
nimaxmpconly_wbf_1_inp_1,1.0,1.0,1.0
nimaxmpconly_wbf_1_inp_100,1.0,1.0,100.0
